id,listing_url,host_id,host_name,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,has_availability,review_scores_rating,instant_bookable
607165273335663971,https://www.airbnb.com/rooms/607165273335663971,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87326,-159.44669,Entire home/apt,Entire home/apt,8,3.5 baths,5,$682.00,t,5,t
40946171,https://www.airbnb.com/rooms/40946171,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87157,-159.44767,Entire condo,Entire home/apt,4,2 baths,2,$315.00,t,4.75,t
41458058,https://www.airbnb.com/rooms/41458058,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87085,-159.44653,Entire condo,Entire home/apt,4,2 baths,2,$420.00,t,4.43,t
50372680,https://www.airbnb.com/rooms/50372680,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87457,-159.4478,Entire home/apt,Entire home/apt,6,3 baths,3,$367.00,t,4.94,t
50373189,https://www.airbnb.com/rooms/50373189,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87322,-159.44789,Entire home/apt,Entire home/apt,4,2 baths,2,$341.00,t,4,t
50434747,https://www.airbnb.com/rooms/50434747,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87147,-159.44859,Entire home/apt,Entire home/apt,6,2 baths,2,$236.00,t,4.67,t
634108724069515728,https://www.airbnb.com/rooms/634108724069515728,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87117,-159.4478,Entire home/apt,Entire home/apt,4,2 baths,2,$383.00,t,5,t
40030164,https://www.airbnb.com/rooms/40030164,95783359,Tom,f,Koloa-Poipu,Kauai,21.87358,-159.44932,Entire condo,Entire home/apt,6,2 baths,3,$250.00,t,5,f
8149592,https://www.airbnb.com/rooms/8149592,42618840,Vacasa Kauai,t,Koloa-Poipu,Kauai,21.870943,-159.446259,Entire home,Entire home/apt,12,4 baths,6,$958.00,t,4.82,t
22745829,https://www.airbnb.com/rooms/22745829,167952355,Mai,t,Koloa-Poipu,Kauai,21.88326,-159.46639,Entire home,Entire home/apt,2,1 bath,2,$200.00,t,4.86,t
41885475,https://www.airbnb.com/rooms/41885475,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.8867,-159.49216,Entire home,Entire home/apt,6,2 baths,4,$1942.00,t,5,t
51641608,https://www.airbnb.com/rooms/51641608,12503950,Heather,t,Koloa-Poipu,Kauai,21.8786,-159.46123,Entire condo,Entire home/apt,4,1 bath,2,$326.00,t,4.95,t
53102831,https://www.airbnb.com/rooms/53102831,6521227,Rico & Cinzia,t,Koloa-Poipu,Kauai,21.86992,-159.44697,Entire home,Entire home/apt,4,2 baths,4,$496.00,t,4.85,f
41458477,https://www.airbnb.com/rooms/41458477,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87077,-159.447,Entire condo,Entire home/apt,4,2 baths,2,$367.00,t,4.83,t
41028131,https://www.airbnb.com/rooms/41028131,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87179,-159.44778,Entire condo,Entire home/apt,4,2 baths,2,$341.00,t,4.79,t
41879352,https://www.airbnb.com/rooms/41879352,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.88477,-159.47373,Entire home,Entire home/apt,6,3 baths,3,$787.00,t,5,t
41642096,https://www.airbnb.com/rooms/41642096,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.88699,-159.49045,Entire home,Entire home/apt,8,3.5 baths,5,$787.00,t,4.75,t
41747071,https://www.airbnb.com/rooms/41747071,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.88432,-159.47323,Entire home,Entire home/apt,8,4 baths,4,$1155.00,t,4.75,t
42664155,https://www.airbnb.com/rooms/42664155,152523079,Kristen,t,Koloa-Poipu,Kauai,21.8853,-159.45698,Entire condo,Entire home/apt,6,2.5 baths,4,$364.00,t,4.95,t
41025177,https://www.airbnb.com/rooms/41025177,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87378,-159.4472,Entire condo,Entire home/apt,4,2 baths,2,$414.00,t,4.63,t
51769600,https://www.airbnb.com/rooms/51769600,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.88231,-159.45653,Entire home/apt,Entire home/apt,8,3 baths,4,$420.00,t,4.95,t
41174083,https://www.airbnb.com/rooms/41174083,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87712,-159.46376,Entire condo,Entire home/apt,4,3 baths,2,$645.00,t,5,t
48678999,https://www.airbnb.com/rooms/48678999,152523079,Kristen,t,Koloa-Poipu,Kauai,21.88349,-159.45743,Entire condo,Entire home/apt,8,3 baths,5,$425.00,t,4.89,t
37213153,https://www.airbnb.com/rooms/37213153,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87334,-159.44753,Entire rental unit,Entire home/apt,6,2 baths,4,$341.00,t,4.84,t
51338755,https://www.airbnb.com/rooms/51338755,6521227,Rico & Cinzia,t,Koloa-Poipu,Kauai,21.87338,-159.45002,Entire home,Entire home/apt,6,1 bath,4,$492.00,t,4.92,f
